0	2026-03-09T23:18:18-05:00	2026-03-09T23:18:18-05:00	2026-03-09T23:18:18-05:00	Sorry, planned but not yet available
1	2026-03-10T00:07:20-05:00	2026-03-09T23:47:24-05:00	2026-03-10T00:07:06-05:00	System: Landing page - dance
2	2026-03-10T00:07:32-05:00	2026-03-09T23:47:39-05:00	2026-03-10T00:07:06-05:00	System: operating reference - dance
3	2026-03-09T23:48:02-05:00	2026-03-09T23:48:02-05:00	2026-03-09T23:48:02-05:00	System: Markdown style guide - dance
4	2026-03-10T00:07:39-05:00	2026-03-09T23:48:22-05:00	2026-03-10T00:07:06-05:00	System: Interlinking best practices - dance
5	2026-03-09T23:48:38-05:00	2026-03-09T23:48:38-05:00	2026-03-09T23:48:38-05:00	System: Entity selection guide - dance
6	2026-03-09T23:48:49-05:00	2026-03-09T23:48:49-05:00	2026-03-09T23:48:49-05:00	Entity: Entity note structure (entity)
7	2026-03-09T23:48:54-05:00	2026-03-09T23:48:54-05:00	2026-03-09T23:48:54-05:00	Entity: System note structure (system)
8	2026-03-09T23:49:00-05:00	2026-03-09T23:49:00-05:00	2026-03-09T23:49:00-05:00	Entity: Concept note structure (concept)
9	2026-03-09T23:49:06-05:00	2026-03-09T23:49:06-05:00	2026-03-09T23:49:06-05:00	Entity: Reference note structure (reference)
10	2026-03-09T23:49:11-05:00	2026-03-09T23:49:11-05:00	2026-03-09T23:49:11-05:00	Entity: Guide note structure (guide)
11	2026-03-09T23:49:17-05:00	2026-03-09T23:49:17-05:00	2026-03-09T23:49:17-05:00	Entity: Article note structure (article)
12	2026-03-09T23:49:22-05:00	2026-03-09T23:49:22-05:00	2026-03-09T23:49:22-05:00	Entity: Person note structure (person)
13	2026-03-09T23:49:28-05:00	2026-03-09T23:49:28-05:00	2026-03-09T23:49:28-05:00	Entity: Place note structure (place)
14	2026-03-09T23:49:35-05:00	2026-03-09T23:49:35-05:00	2026-03-09T23:49:35-05:00	Entity: Event note structure (event)
15	2026-03-09T23:49:41-05:00	2026-03-09T23:49:41-05:00	2026-03-09T23:49:41-05:00	Entity: Organization note structure (organization)
16	2026-03-09T23:49:49-05:00	2026-03-09T23:49:49-05:00	2026-03-09T23:49:49-05:00	Entity: Move note structure (move)
17	2026-03-09T23:49:56-05:00	2026-03-09T23:49:56-05:00	2026-03-09T23:49:56-05:00	Entity: Draft note structure (draft)
18	2026-03-10T00:06:44-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:01-05:00	Organization: Hazy Rhythms dance
19	2026-03-10T00:05:13-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:01-05:00	Reference: Typical places to go dancing in Twin Cities
20	2026-03-10T00:05:20-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:01-05:00	Reference: Dance classes in the twin cities
21	2026-03-10T00:04:51-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:01-05:00	Place: Duende dance studio
22	2026-03-10T00:04:53-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:01-05:00	Place: TC Swing dance studio
23	2026-03-03T10:29:43-06:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:52-05:00	East coast swing (ecs)
24	2026-03-03T10:29:43-06:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:52-05:00	Lindy hop (lindy)
25	2026-03-10T00:04:55-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:03:01-05:00	Place: Onereason dance studio (onereason)
26	2026-03-10T00:08:40-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:53-05:00	Salsa (salsa)
27	2026-03-10T00:08:40-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:53-05:00	Bachata (bachata)
28	2026-03-10T00:08:40-05:00	2026-03-03T10:29:43-06:00	2026-03-10T00:02:53-05:00	Jive (jive)
